Season,Round,ClubHome,ClubAway,PlayDate
IPL2016,08,Gostaresh TBZ,Padideh MSH,2016-10-16 13:30:00+00:00
IPL2016,08,Saipa ALB,Teraktor TBZ,2016-10-15 13:45:00+00:00
IPL2016,08,Mashin Sazi TBZ,Esteghlal KHU,2016-10-15 16:15:00+00:00
IPL2016,09,Teraktor TBZ,Foolad KHU,2016-10-20 15:45:00+00:00
IPL2016,09,Saba QOM,Gostaresh TBZ,2016-10-21 14:30:00+00:00
IPL2016,09,Padideh MSH,Paykan TEH,2016-10-21 14:15:00+00:00
IPL2016,09,Esteghlal TEH,Saipa ALB,2016-10-21 14:15:00+00:00
IPL2016,09,Esteghlal KHU,Perspolis TEH,2016-10-20 13:45:00+00:00
IPL2016,09,Sepahan ESF,FC Mashhad MSH,2016-10-21 13:45:00+00:00
IPL2016,09,Naft TEH,Zobahan ESF,2016-10-20 13:30:00+00:00
IPL2016,09,Sanat Naft ABD,Mashin Sazi TBZ,2016-10-21 13:45:00+00:00
IPL2016,10,Gostaresh TBZ,Teraktor TBZ,2016-10-27 16:45:00+00:00
IPL2016,10,Saipa ALB,Sepahan ESF,2016-10-27 15:00:00+00:00
IPL2016,10,Perspolis TEH,Sanat Naft ABD,2016-10-28 16:15:00+00:00
IPL2016,10,Zobahan ESF,Esteghlal KHU,2016-10-28 14:00:00+00:00
IPL2016,10,FC Mashhad MSH,Naft TEH,2016-10-28 14:30:00+00:00
IPL2016,10,Foolad KHU,Esteghlal TEH,2016-10-27 14:30:00+00:00
IPL2016,10,Mashin Sazi TBZ,Paykan TEH,2016-10-27 16:45:00+00:00
IPL2016,10,Saba QOM,Padideh MSH,2016-10-27 17:00:00+00:00
IPL2016,11,Sepahan ESF,Foolad KHU,2016-11-24 12:30:00+00:00
IPL2016,11,Teraktor TBZ,Saba QOM,2016-11-25 17:30:00+00:00
IPL2016,11,Esteghlal TEH,Gostaresh TBZ,2016-11-25 14:45:00+00:00
IPL2016,11,Esteghlal KHU,FC Mashhad MSH,2016-11-24 17:45:00+00:00
IPL2016,11,Naft TEH,Saipa ALB,2016-11-24 18:00:00+00:00
IPL2016,11,Padideh MSH,Mashin Sazi TBZ,2016-11-25 14:45:00+00:00
IPL2016,11,Paykan TEH,Perspolis TEH,2016-11-24 18:00:00+00:00
IPL2016,11,Sanat Naft ABD,Zobahan ESF,2016-11-25 18:00:00+00:00
IPL2016,12,FC Mashhad MSH,Sanat Naft ABD,2016-12-02 15:15:00+00:00
IPL2016,12,Gostaresh TBZ,Sepahan ESF,2016-12-01 14:30:00+00:00
IPL2016,12,Perspolis TEH,Mashin Sazi TBZ,2016-12-02 13:00:00+00:00
IPL2016,12,Saba QOM,Esteghlal TEH,2016-12-01 13:00:00+00:00
IPL2016,12,Teraktor TBZ,Padideh MSH,2016-12-02 14:15:00+00:00
IPL2016,12,Zobahan ESF,Paykan TEH,2016-12-02 17:30:00+00:00
IPL2016,12,Saipa ALB,Esteghlal KHU,2016-12-01 16:45:00+00:00
IPL2016,12,Foolad KHU,Naft TEH,2016-12-01 17:30:00+00:00
IPL2016,13,Naft TEH,Gostaresh TBZ,2016-12-08 14:15:00+00:00
IPL2016,13,Sanat Naft ABD,Saipa ALB,2016-12-08 17:45:00+00:00
IPL2016,13,Sepahan ESF,Saba QOM,2016-12-09 18:15:00+00:00
IPL2016,13,Paykan TEH,FC Mashhad MSH,2016-12-09 15:45:00+00:00
IPL2016,13,Mashin Sazi TBZ,Zobahan ESF,2016-12-08 16:30:00+00:00
IPL2016,13,Esteghlal KHU,Foolad KHU,2016-12-09 16:15:00+00:00
IPL2016,13,Esteghlal TEH,Teraktor TBZ,2016-12-09 15:45:00+00:00
IPL2016,13,Padideh MSH,Perspolis TEH,2016-12-10 16:30:00+00:00
IPL2016,14,Teraktor TBZ,Sepahan ESF,2016-12-16 15:15:00+00:00
IPL2016,14,Gostaresh TBZ,Esteghlal KHU,2016-12-16 17:15:00+00:00
IPL2016,14,Esteghlal TEH,Padideh MSH,2016-12-15 17:30:00+00:00
IPL2016,14,FC Mashhad MSH,Mashin Sazi TBZ,2016-12-16 17:30:00+00:00
IPL2016,14,Foolad KHU,Sanat Naft ABD,2016-12-16 17:00:00+00:00
IPL2016,14,Saba QOM,Naft TEH,2016-12-15 16:00:00+00:00
IPL2016,14,Saipa ALB,Paykan TEH,2016-12-15 17:45:00+00:00
IPL2016,14,Zobahan ESF,Perspolis TEH,2016-12-16 13:45:00+00:00
IPL2016,15,Sepahan ESF,Esteghlal TEH,2016-12-25 17:45:00+00:00
IPL2016,15,Esteghlal KHU,Saba QOM,2016-12-23 14:45:00+00:00
IPL2016,15,Mashin Sazi TBZ,Saipa ALB,2017-01-08 14:30:00+00:00
IPL2016,15,Perspolis TEH,FC Mashhad MSH,2016-12-23 14:15:00+00:00
IPL2016,15,Naft TEH,Teraktor TBZ,2016-12-25 14:45:00+00:00
IPL2016,15,Padideh MSH,Zobahan ESF,2016-12-26 17:00:00+00:00
IPL2016,15,Paykan TEH,Foolad KHU,2016-12-23 13:30:00+00:00
IPL2016,15,Sanat Naft ABD,Gostaresh TBZ,2016-12-26 15:30:00+00:00
IPL2016,16,Zobahan ESF,FC Mashhad MSH,2017-01-13 16:00:00+00:00
IPL2016,16,Naft TEH,Esteghlal TEH,2017-01-12 13:30:00+00:00
IPL2016,16,Sanat Naft ABD,Saba QOM,2017-01-11 18:00:00+00:00
IPL2016,16,Padideh MSH,Sepahan ESF,2017-01-13 16:15:00+00:00
IPL2016,16,Esteghlal KHU,Teraktor TBZ,2017-01-12 18:15:00+00:00
IPL2016,16,Mashin Sazi TBZ,Foolad KHU,2017-01-13 13:30:00+00:00
IPL2016,16,Paykan TEH,Gostaresh TBZ,2017-01-12 13:15:00+00:00
IPL2016,16,Perspolis TEH,Saipa ALB,2017-01-13 12:45:00+00:00
IPL2016,17,Foolad KHU,Perspolis TEH,2017-01-18 17:00:00+00:00
IPL2016,17,Sepahan ESF,Naft TEH,2017-01-18 13:30:00+00:00
IPL2016,17,Saipa ALB,Zobahan ESF,2017-01-18 13:15:00+00:00
IPL2016,17,Teraktor TBZ,Sanat Naft ABD,2017-01-17 16:45:00+00:00
IPL2016,17,Gostaresh TBZ,Mashin Sazi TBZ,2017-01-18 18:15:00+00:00
IPL2016,17,FC Mashhad MSH,Padideh MSH,2017-01-18 18:15:00+00:00
IPL2016,17,Saba QOM,Paykan TEH,2017-01-17 12:45:00+00:00
IPL2016,17,Esteghlal TEH,Esteghlal KHU,2017-01-17 17:30:00+00:00
IPL2016,18,Paykan TEH,Teraktor TBZ,2017-01-22 12:45:00+00:00
IPL2016,18,Mashin Sazi TBZ,Saba QOM,2017-01-22 14:00:00+00:00
IPL2016,18,Esteghlal KHU,Sepahan ESF,2017-01-23 17:30:00+00:00
IPL2016,18,Zobahan ESF,Foolad KHU,2017-01-23 14:15:00+00:00
IPL2016,18,Saipa ALB,FC Mashhad MSH,2017-01-23 17:30:00+00:00
IPL2016,18,Sanat Naft ABD,Esteghlal TEH,2017-01-22 12:30:00+00:00
IPL2016,18,Perspolis TEH,Gostaresh TBZ,2017-01-23 15:30:00+00:00
IPL2016,18,Padideh MSH,Naft TEH,2017-01-23 17:00:00+00:00
IPL2016,19,Naft TEH,Esteghlal KHU,2017-01-28 15:00:00+00:00
IPL2016,19,Teraktor TBZ,Mashin Sazi TBZ,2017-01-27 17:30:00+00:00
IPL2016,19,Sepahan ESF,Sanat Naft ABD,2017-01-28 12:30:00+00:00
IPL2016,19,Saba QOM,Perspolis TEH,2017-01-28 16:45:00+00:00
IPL2016,19,Padideh MSH,Saipa ALB,2017-01-28 15:00:00+00:00
IPL2016,19,Gostaresh TBZ,Zobahan ESF,2017-01-28 17:45:00+00:00
IPL2016,19,Foolad KHU,FC Mashhad MSH,2017-01-28 16:30:00+00:00
IPL2016,19,Esteghlal TEH,Paykan TEH,2017-01-27 13:15:00+00:00
IPL2016,20,Mashin Sazi TBZ,Esteghlal TEH,2017-02-01 14:00:00+00:00
IPL2016,20,Esteghlal KHU,Padideh MSH,2017-02-02 14:15:00+00:00
IPL2016,20,Sanat Naft ABD,Naft TEH,2017-02-03 15:00:00+00:00
IPL2016,20,Saipa ALB,Foolad KHU,2017-02-02 12:30:00+00:00
IPL2016,20,Paykan TEH,Sepahan ESF,2017-02-02 13:15:00+00:00
IPL2016,20,FC Mashhad MSH,Gostaresh TBZ,2017-02-04 16:00:00+00:00
IPL2016,20,Perspolis TEH,Teraktor TBZ,2017-02-05 15:30:00+00:00
IPL2016,20,Zobahan ESF,Saba QOM,2017-02-02 15:15:00+00:00
IPL2016,21,Teraktor TBZ,Zobahan ESF,2017-02-11 13:00:00+00:00
IPL2016,21,Padideh MSH,Foolad KHU,2017-02-09 15:45:00+00:00
IPL2016,21,Gostaresh TBZ,Saipa ALB,2017-02-09 13:15:00+00:00
IPL2016,21,Esteghlal KHU,Sanat Naft ABD,2017-02-09 14:30:00+00:00
IPL2016,21,Esteghlal TEH,Perspolis TEH,2017-02-12 15:45:00+00:00
IPL2016,21,Sepahan ESF,Mashin Sazi TBZ,2017-02-09 13:00:00+00:00
IPL2016,21,Naft TEH,Paykan TEH,2017-02-09 14:30:00+00:00
IPL2016,21,Saba QOM,FC Mashhad MSH,2017-02-09 16:30:00+00:00
IPL2016,22,Saipa ALB,Saba QOM,2017-02-17 12:45:00+00:00
IPL2016,22,Perspolis TEH,Sepahan ESF,2017-02-16 14:15:00+00:00
IPL2016,22,Mashin Sazi TBZ,Naft TEH,2017-02-18 12:45:00+00:00
IPL2016,22,FC Mashhad MSH,Teraktor TBZ,2017-02-24 13:45:00+00:00
IPL2016,22,Paykan TEH,Esteghlal KHU,2017-02-14 13:45:00+00:00
IPL2016,22,Foolad KHU,Gostaresh TBZ,2017-02-16 15:00:00+00:00
IPL2016,22,Zobahan ESF,Esteghlal TEH,2017-02-16 17:30:00+00:00
IPL2016,22,Sanat Naft ABD,Padideh MSH,2017-02-17 17:45:00+00:00
IPL2016,23,Esteghlal KHU,Mashin Sazi TBZ,2017-03-04 13:45:00+00:00
IPL2016,23,Sanat Naft ABD,Paykan TEH,2017-03-03 16:00:00+00:00
IPL2016,23,Saba QOM,Foolad KHU,2017-03-03 12:30:00+00:00
IPL2016,23,Naft TEH,Perspolis TEH,2017-03-05 15:15:00+00:00
IPL2016,23,Esteghlal TEH,FC Mashhad MSH,2017-03-04 15:45:00+00:00
IPL2016,23,Sepahan ESF,Zobahan ESF,2017-03-05 13:15:00+00:00
IPL2016,23,Padideh MSH,Gostaresh TBZ,2017-03-03 12:30:00+00:00
IPL2016,23,Teraktor TBZ,Saipa ALB,2017-03-03 13:45:00+00:00
IPL2016,24,Gostaresh TBZ,Saba QOM,2017-03-10 15:30:00+00:00
IPL2016,24,Perspolis TEH,Esteghlal KHU,2017-03-09 14:30:00+00:00
IPL2016,24,Paykan TEH,Padideh MSH,2017-03-10 14:45:00+00:00
IPL2016,24,Mashin Sazi TBZ,Sanat Naft ABD,2017-03-09 15:00:00+00:00
IPL2016,24,FC Mashhad MSH,Sepahan ESF,2017-03-10 14:30:00+00:00
IPL2016,24,Foolad KHU,Teraktor TBZ,2017-03-10 14:00:00+00:00
IPL2016,24,Zobahan ESF,Naft TEH,2017-03-09 15:30:00+00:00
IPL2016,24,Saipa ALB,Esteghlal TEH,2017-03-08 14:00:00+00:00
IPL2016,25,Padideh MSH,Saba QOM,2017-03-31 11:30:00+00:00
IPL2016,25,Paykan TEH,Mashin Sazi TBZ,2017-03-31 14:30:00+00:00
IPL2016,25,Naft TEH,FC Mashhad MSH,2017-03-31 17:15:00+00:00
IPL2016,25,Esteghlal KHU,Zobahan ESF,2017-03-31 16:30:00+00:00
IPL2016,25,Sepahan ESF,Saipa ALB,2017-04-01 11:45:00+00:00
IPL2016,25,Teraktor TBZ,Gostaresh TBZ,2017-04-01 16:45:00+00:00
IPL2016,25,Sanat Naft ABD,Perspolis TEH,2017-04-01 13:45:00+00:00
IPL2016,25,Esteghlal TEH,Foolad KHU,2017-04-01 16:15:00+00:00
IPL2016,26,Gostaresh TBZ,Esteghlal TEH,2017-04-06 11:30:00+00:00
IPL2016,26,FC Mashhad MSH,Esteghlal KHU,2017-04-05 13:30:00+00:00
IPL2016,26,Foolad KHU,Sepahan ESF,2017-04-07 14:45:00+00:00
IPL2016,26,Mashin Sazi TBZ,Padideh MSH,2017-04-07 14:00:00+00:00
IPL2016,26,Perspolis TEH,Paykan TEH,2017-04-05 13:00:00+00:00
IPL2016,26,Saipa ALB,Naft TEH,2017-04-07 17:15:00+00:00
IPL2016,26,Zobahan ESF,Sanat Naft ABD,2017-04-06 14:00:00+00:00
IPL2016,26,Saba QOM,Teraktor TBZ,2017-04-07 14:00:00+00:00
IPL2016,27,Sanat Naft ABD,FC Mashhad MSH,2017-04-14 17:15:00+00:00
IPL2016,27,Naft TEH,Foolad KHU,2017-04-14 17:00:00+00:00
IPL2016,27,Padideh MSH,Teraktor TBZ,2017-04-14 13:15:00+00:00
IPL2016,27,Sepahan ESF,Gostaresh TBZ,2017-04-14 14:45:00+00:00
IPL2016,27,Esteghlal KHU,Saipa ALB,2017-04-15 15:45:00+00:00
IPL2016,27,Esteghlal TEH,Saba QOM,2017-04-15 17:15:00+00:00
IPL2016,27,Paykan TEH,Zobahan ESF,2017-04-15 13:30:00+00:00
IPL2016,27,Mashin Sazi TBZ,Perspolis TEH,2017-04-15 16:15:00+00:00
IPL2016,28,FC Mashhad MSH,Paykan TEH,2017-04-20 16:00:00+00:00
IPL2016,28,Gostaresh TBZ,Naft TEH,2017-04-20 16:30:00+00:00
IPL2016,28,Saba QOM,Sepahan ESF,2017-04-20 16:45:00+00:00
IPL2016,28,Perspolis TEH,Padideh MSH,2017-04-19 12:30:00+00:00
IPL2016,28,Foolad KHU,Esteghlal KHU,2017-04-20 16:15:00+00:00
IPL2016,28,Zobahan ESF,Mashin Sazi TBZ,2017-04-20 14:15:00+00:00
IPL2016,28,Saipa ALB,Sanat Naft ABD,2017-04-20 15:00:00+00:00
IPL2016,28,Teraktor TBZ,Esteghlal TEH,2017-04-20 15:15:00+00:00
IPL2016,29,Esteghlal KHU,Gostaresh TBZ,2017-04-29 17:00:00+00:00
IPL2016,29,Mashin Sazi TBZ,FC Mashhad MSH,2017-04-29 14:30:00+00:00
IPL2016,29,Naft TEH,Saba QOM,2017-04-29 11:45:00+00:00
IPL2016,29,Padideh MSH,Esteghlal TEH,2017-04-29 13:15:00+00:00
IPL2016,29,Paykan TEH,Saipa ALB,2017-04-29 15:45:00+00:00
IPL2016,29,Perspolis TEH,Zobahan ESF,2017-04-29 14:15:00+00:00
IPL2016,29,Sanat Naft ABD,Foolad KHU,2017-04-29 16:30:00+00:00
IPL2016,29,Sepahan ESF,Teraktor TBZ,2017-04-29 13:45:00+00:00
IPL2016,30,FC Mashhad MSH,Perspolis TEH,2017-05-04 14:00:00+00:00
IPL2016,30,Teraktor TBZ,Naft TEH,2017-05-04 16:30:00+00:00
IPL2016,30,Saipa ALB,Mashin Sazi TBZ,2017-05-04 13:15:00+00:00
IPL2016,30,Esteghlal TEH,Sepahan ESF,2017-05-04 13:45:00+00:00
IPL2016,30,Gostaresh TBZ,Sanat Naft ABD,2017-05-04 17:15:00+00:00
IPL2016,30,Saba QOM,Esteghlal KHU,2017-05-04 16:45:00+00:00
IPL2016,30,Foolad KHU,Paykan TEH,2017-05-04 14:30:00+00:00
IPL2016,30,Zobahan ESF,Padideh MSH,2017-05-04 13:15:00+00:00
