Season,Round,URL_IPLStats
IPL2013,15,http://www.iplstats.com/website13-14/Week15/MES_DGL_15.htm
IPL2013,15,http://www.iplstats.com/website13-14/Week15/NFT_SEP_15.htm
IPL2013,15,http://www.iplstats.com/website13-14/Week15/ZOB_RAH_15.htm
IPL2013,15,http://www.iplstats.com/website13-14/Week15/PER_ESK_15.htm
IPL2013,15,http://www.iplstats.com/website13-14/Week15/SAP_SAB_15.htm
IPL2013,15,http://www.iplstats.com/website13-14/Week15/TST_EST_15.htm
IPL2013,16,http://www.iplstats.com/website13-14/Week16/ZOB_ESK_16.htm
IPL2013,16,http://www.iplstats.com/website13-14/Week16/EST_GFT_16.htm
IPL2013,16,http://www.iplstats.com/website13-14/Week16/FOL_SEP_16.htm
IPL2013,16,http://www.iplstats.com/website13-14/Week16/MLV_SAB_16.htm
IPL2013,16,http://www.iplstats.com/website13-14/Week16/MES_RAH_16.htm
IPL2013,16,http://www.iplstats.com/website13-14/Week16/NFT_FJR_16.htm
IPL2013,16,http://www.iplstats.com/website13-14/Week16/SAP_DGL_16.htm
IPL2013,16,http://www.iplstats.com/website13-14/Week16/TST_PER_16.htm
IPL2013,17,http://www.iplstats.com/website13-14/Week17/FJR_FOL_17.htm
IPL2013,17,http://www.iplstats.com/website13-14/Week17/RAH_SAP_17.htm
IPL2013,17,http://www.iplstats.com/website13-14/Week17/SEP_EST_17.htm
IPL2013,17,http://www.iplstats.com/website13-14/Week17/DGL_MLV_17.htm
IPL2013,17,http://www.iplstats.com/website13-14/Week17/ESK_MES_17.htm
IPL2013,17,http://www.iplstats.com/website13-14/Week17/GFT_TST_17.htm
IPL2013,17,http://www.iplstats.com/website13-14/Week17/PER_ZOB_17.htm
IPL2013,17,http://www.iplstats.com/website13-14/Week17/SAB_NFT_17.htm
IPL2013,18,http://www.iplstats.com/website13-14/Week18/SAP_ESK_18.htm
IPL2013,18,http://www.iplstats.com/website13-14/Week18/SEP_GFT_18.htm
IPL2013,18,http://www.iplstats.com/website13-14/Week18/FOL_SAB_18.htm
IPL2013,18,http://www.iplstats.com/website13-14/Week18/MLV_RAH_18.htm
IPL2013,18,http://www.iplstats.com/website13-14/Week18/MES_PER_18.htm
IPL2013,18,http://www.iplstats.com/website13-14/Week18/NFT_DGL_18.htm
IPL2013,18,http://www.iplstats.com/website13-14/Week18/TST_ZOB_18.htm
IPL2013,18,http://www.iplstats.com/website13-14/Week18/EST_FJR_18.htm
IPL2013,19,http://www.iplstats.com/website13-14/Week19/ESK_MLV_19.htm
IPL2013,19,http://www.iplstats.com/website13-14/Week19/FJR_GFT_19.htm
IPL2013,19,http://www.iplstats.com/website13-14/Week19/PER_SAP_19.htm
IPL2013,19,http://www.iplstats.com/website13-14/Week19/ZOB_MES_19.htm
IPL2013,19,http://www.iplstats.com/website13-14/Week19/DGL_FOL_19.htm
IPL2013,19,http://www.iplstats.com/website13-14/Week19/RAH_NFT_19.htm
IPL2013,19,http://www.iplstats.com/website13-14/Week19/SAB_EST_19.htm
IPL2013,19,http://www.iplstats.com/website13-14/Week19/TST_SEP_19.htm
IPL2013,20,http://www.iplstats.com/website13-14/Week20/EST_DGL_20.htm
IPL2013,20,http://www.iplstats.com/website13-14/Week20/FOL_RAH_20.htm
IPL2013,20,http://www.iplstats.com/website13-14/Week20/GFT_SAB_20.htm
IPL2013,20,http://www.iplstats.com/website13-14/Week20/MLV_PER_20.htm
IPL2013,20,http://www.iplstats.com/website13-14/Week20/MES_TST_20.htm
IPL2013,20,http://www.iplstats.com/website13-14/Week20/NFT_ESK_20.htm
IPL2013,20,http://www.iplstats.com/website13-14/Week20/SAP_ZOB_20.htm
IPL2013,20,http://www.iplstats.com/website13-14/Week20/SEP_FJR_20.htm
IPL2013,21,http://www.iplstats.com/website13-14/Week21/ESK_FOL_21.htm
IPL2013,21,http://www.iplstats.com/website13-14/Week21/PER_NFT_21.htm
IPL2013,21,http://www.iplstats.com/website13-14/Week21/ZOB_MLV_21.htm
IPL2013,21,http://www.iplstats.com/website13-14/Week21/DGL_GFT_21.htm
IPL2013,21,http://www.iplstats.com/website13-14/Week21/MES_SAP_21.htm
IPL2013,21,http://www.iplstats.com/website13-14/Week21/RAH_EST_21.htm
IPL2013,21,http://www.iplstats.com/website13-14/Week21/SAB_SEP_21.htm
IPL2013,21,http://www.iplstats.com/website13-14/Week21/TST_FJR_21.htm
IPL2013,22,http://www.iplstats.com/website13-14/Week22/NFT_ZOB_22.htm
IPL2013,22,http://www.iplstats.com/website13-14/Week22/EST_ESK_22.htm
IPL2013,22,http://www.iplstats.com/website13-14/Week22/FJR_SAB_22.htm
IPL2013,22,http://www.iplstats.com/website13-14/Week22/FOL_PER_22.htm
IPL2013,22,http://www.iplstats.com/website13-14/Week22/GFT_RAH_22.htm
IPL2013,22,http://www.iplstats.com/website13-14/Week22/MLV_MES_22.htm
IPL2013,22,http://www.iplstats.com/website13-14/Week22/SAP_TST_22.htm
IPL2013,22,http://www.iplstats.com/website13-14/Week22/SEP_DGL_22.htm
IPL2013,23,http://www.iplstats.com/website13-14/Week23/DGL_FJR_23.htm
IPL2013,23,http://www.iplstats.com/website13-14/Week23/ESK_GFT_23.htm
IPL2013,23,http://www.iplstats.com/website13-14/Week23/RAH_SEP_23.htm
IPL2013,23,http://www.iplstats.com/website13-14/Week23/SAP_MLV_23.htm
IPL2013,23,http://www.iplstats.com/website13-14/Week23/TST_SAB_23.htm
IPL2013,23,http://www.iplstats.com/website13-14/Week23/ZOB_FOL_23.htm
IPL2013,23,http://www.iplstats.com/website13-14/Week23/PER_EST_23.htm
IPL2013,23,http://www.iplstats.com/website13-14/Week23/MES_NFT_23.htm
IPL2013,24,http://www.iplstats.com/website13-14/Week24/FOL_MES_24.htm
IPL2013,24,http://www.iplstats.com/website13-14/Week24/GFT_PER_24.htm
IPL2013,24,http://www.iplstats.com/website13-14/Week24/NFT_SAP_24.htm
IPL2013,24,http://www.iplstats.com/website13-14/Week24/EST_ZOB_24.htm
IPL2013,24,http://www.iplstats.com/website13-14/Week24/FJR_RAH_24.htm
IPL2013,24,http://www.iplstats.com/website13-14/Week24/MLV_TST_24.htm
IPL2013,24,http://www.iplstats.com/website13-14/Week24/SAB_DGL_24.htm
IPL2013,24,http://www.iplstats.com/website13-14/Week24/SEP_ESK_24.htm
IPL2013,25,http://www.iplstats.com/website13-14/Week25/ESK_FJR_25.htm
IPL2013,25,http://www.iplstats.com/website13-14/Week25/MLV_NFT_25.htm
IPL2013,25,http://www.iplstats.com/website13-14/Week25/MES_EST_25.htm
IPL2013,25,http://www.iplstats.com/website13-14/Week25/PER_SEP_25.htm
IPL2013,25,http://www.iplstats.com/website13-14/Week25/RAH_SAB_25.htm
IPL2013,25,http://www.iplstats.com/website13-14/Week25/SAP_FOL_25.htm
IPL2013,25,http://www.iplstats.com/website13-14/Week25/TST_DGL_25.htm
IPL2013,25,http://www.iplstats.com/website13-14/Week25/ZOB_GFT_25.htm
IPL2013,26,http://www.iplstats.com/website13-14/Week26/DGL_RAH_26.htm
IPL2013,26,http://www.iplstats.com/website13-14/Week26/SAB_ESK_26.htm
IPL2013,26,http://www.iplstats.com/website13-14/Week26/SEP_ZOB_26.htm
IPL2013,26,http://www.iplstats.com/website13-14/Week26/EST_SAP_26.htm
IPL2013,26,http://www.iplstats.com/website13-14/Week26/FJR_PER_26.htm
IPL2013,26,http://www.iplstats.com/website13-14/Week26/FOL_MLV_26.htm
IPL2013,26,http://www.iplstats.com/website13-14/Week26/GFT_MES_26.htm
IPL2013,26,http://www.iplstats.com/website13-14/Week26/NFT_TST_26.htm
IPL2013,27,http://www.iplstats.com/website13-14/Week27/ESK_DGL_27.htm
IPL2013,27,http://www.iplstats.com/website13-14/Week27/NFT_FOL_27.htm
IPL2013,27,http://www.iplstats.com/website13-14/Week27/SAP_GFT_27.htm
IPL2013,27,http://www.iplstats.com/website13-14/Week27/ZOB_FJR_27.htm
IPL2013,27,http://www.iplstats.com/website13-14/Week27/MLV_EST_27.htm
IPL2013,27,http://www.iplstats.com/website13-14/Week27/MES_SEP_27.htm
IPL2013,27,http://www.iplstats.com/website13-14/Week27/TST_RAH_27.htm
IPL2013,27,http://www.iplstats.com/website13-14/Week27/PER_SAB_27.htm
IPL2013,28,http://www.iplstats.com/website13-14/Week28/DGL_PER_28.htm
IPL2013,28,http://www.iplstats.com/website13-14/Week28/EST_NFT_28.htm
IPL2013,28,http://www.iplstats.com/website13-14/Week28/FJR_MES_28.htm
IPL2013,28,http://www.iplstats.com/website13-14/Week28/FOL_TST_28.htm
IPL2013,28,http://www.iplstats.com/website13-14/Week28/GFT_MLV_28.htm
IPL2013,28,http://www.iplstats.com/website13-14/Week28/RAH_ESK_28.htm
IPL2013,28,http://www.iplstats.com/website13-14/Week28/SAB_ZOB_28.htm
