Season,Round,SourceURL
IPL2014,24,http://www.iplstats.com/website14-15/Week24/ZOB_GFT_24.htm
IPL2014,24,http://www.iplstats.com/website14-15/Week24/MLV_PAY_24.htm
IPL2014,24,http://www.iplstats.com/website14-15/Week24/PAD_SAP_24.htm
IPL2014,25,http://www.iplstats.com/website14-15/Week25/EST_ZOB_25.htm
IPL2014,25,http://www.iplstats.com/website14-15/Week25/NMS_RAH_25.htm
IPL2014,25,http://www.iplstats.com/website14-15/Week25/PAY_PAD_25.htm
IPL2014,25,http://www.iplstats.com/website14-15/Week25/SAP_SAB_25.htm
IPL2014,25,http://www.iplstats.com/website14-15/Week25/ESK_PER_25.htm
IPL2014,25,http://www.iplstats.com/website14-15/Week25/GFT_MLV_25.htm
IPL2014,25,http://www.iplstats.com/website14-15/Week25/NFT_FOL_25.htm
IPL2014,25,http://www.iplstats.com/website14-15/Week25/SEP_TST_25.htm
IPL2014,26,http://www.iplstats.com/website14-15/Week26/FOL_NMS_26.htm
IPL2014,26,http://www.iplstats.com/website14-15/Week26/PER_SEP_26.htm
IPL2014,26,http://www.iplstats.com/website14-15/Week26/TST_SAP_26.htm
IPL2014,26,http://www.iplstats.com/website14-15/Week26/ZOB_NFT_26.htm
IPL2014,26,http://www.iplstats.com/website14-15/Week26/MLV_EST_26.htm
IPL2014,26,http://www.iplstats.com/website14-15/Week26/PAD_GFT_26.htm
IPL2014,26,http://www.iplstats.com/website14-15/Week26/RAH_ESK_26.htm
IPL2014,26,http://www.iplstats.com/website14-15/Week26/SAB_PAY_26.htm
IPL2014,27,http://www.iplstats.com/website14-15/Week27/EST_PAD_27.htm
IPL2014,27,http://www.iplstats.com/website14-15/Week27/GFT_SAB_27.htm
IPL2014,27,http://www.iplstats.com/website14-15/Week27/NMS_ESK_27.htm
IPL2014,27,http://www.iplstats.com/website14-15/Week27/SEP_RAH_27.htm
IPL2014,27,http://www.iplstats.com/website14-15/Week27/FOL_ZOB_27.htm
IPL2014,27,http://www.iplstats.com/website14-15/Week27/NFT_MLV_27.htm
IPL2014,27,http://www.iplstats.com/website14-15/Week27/PAY_TST_27.htm
IPL2014,27,http://www.iplstats.com/website14-15/Week27/SAP_PER_27.htm
IPL2014,28,http://www.iplstats.com/website14-15/Week28/ESK_SEP_28.htm
IPL2014,28,http://www.iplstats.com/website14-15/Week28/MLV_FOL_28.htm
IPL2014,28,http://www.iplstats.com/website14-15/Week28/PAD_NFT_28.htm
IPL2014,28,http://www.iplstats.com/website14-15/Week28/PER_PAY_28.htm
IPL2014,28,http://www.iplstats.com/website14-15/Week28/RAH_SAP_28.htm
IPL2014,28,http://www.iplstats.com/website14-15/Week28/SAB_EST_28.htm
IPL2014,28,http://www.iplstats.com/website14-15/Week28/TER_GFT_28.htm
IPL2014,28,http://www.iplstats.com/website14-15/Week28/ZOB_NMS_28.htm
IPL2014,29,http://www.iplstats.com/website14-15/Week29/EST_TER_29.htm
IPL2014,29,http://www.iplstats.com/website14-15/Week29/FOL_PAD_29.htm
IPL2014,29,http://www.iplstats.com/website14-15/Week29/GFT_PER_29.htm
IPL2014,29,http://www.iplstats.com/website14-15/Week29/NMS_SEP_29.htm
IPL2014,29,http://www.iplstats.com/website14-15/Week29/NFT_SAB_29.htm
IPL2014,29,http://www.iplstats.com/website14-15/Week29/PAY_RAH_29.htm
IPL2014,29,http://www.iplstats.com/website14-15/Week29/SAP_ESK_29.htm
IPL2014,29,http://www.iplstats.com/website14-15/Week29/ZOB_MLV_29.htm
IPL2014,30,http://www.iplstats.com/website14-15/Week30/ESK_PAY_30.htm
IPL2014,30,http://www.iplstats.com/website14-15/Week30/MLV_NMS_30.htm
IPL2014,30,http://www.iplstats.com/website14-15/Week30/PAD_ZOB_30.htm
IPL2014,30,http://www.iplstats.com/website14-15/Week30/PER_EST_30.htm
IPL2014,30,http://www.iplstats.com/website14-15/Week30/RAH_GFT_30.htm
IPL2014,30,http://www.iplstats.com/website14-15/Week30/SAB_FOL_30.htm
IPL2014,30,http://www.iplstats.com/website14-15/Week30/SEP_SAP_30.htm
IPL2014,30,http://www.iplstats.com/website14-15/Week30/TST_NFT_30.htm
